seq_id,feature_type,start,end,strand,geneid,locus_tag,gene,protein_id,product,normalized_label,normalized_quality,go_terms,go_bp,go_mf,go_cc,goslim_terms
NP_414569.1,CDS,25826,26275,+,944807,b0028,fkpB,NP_414569.1,peptidyl-prolyl cis-trans isomerase FkpB,isomerase,low,GO:0003755;GO:0005515;GO:0005829;GO:0016853;GO:0042026,GO:0042026,GO:0003755;GO:0005515;GO:0016853,GO:0005829,GO:0003824;GO:0005829;GO:0006457;GO:0016853;GO:0051604;GO:0140096
NP_414570.1,CDS,26277,27227,+,944777,b0029,ispH,NP_414570.1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,reductase,low,GO:0005737;GO:0005829;GO:0008299;GO:0016114;GO:0016491;GO:0019288;GO:0046872;GO:0050992;GO:0051536;GO:0051538;GO:0051539;GO:0051745,GO:0008299;GO:0016114;GO:0019288;GO:0050992,GO:0016491;GO:0046872;GO:0051536;GO:0051538;GO:0051539;GO:0051745,GO:0005737;GO:0005829,GO:0003824;GO:0005829;GO:0006629;GO:0016491;GO:1901135
NP_414571.1,CDS,27293,28207,+,944796,b0030,rihC,NP_414571.1,ribonucleoside hydrolase RihC,hydrolase,low,GO:0005829;GO:0006144;GO:0006152;GO:0006206;GO:0006974;GO:0008477;GO:0016787;GO:0016798;GO:0016799;GO:0042454;GO:0045437;GO:0047622;GO:0047724;GO:0050263,GO:0006144;GO:0006152;GO:0006206;GO:0006974;GO:0042454,GO:0008477;GO:0016787;GO:0016798;GO:0016799;GO:0045437;GO:0047622;GO:0047724;GO:0050263,GO:0005829,GO:0003824;GO:0005829;GO:0016787;GO:0055086;GO:1901135
NP_414572.1,CDS,28374,29195,+,944762,b0031,dapB,NP_414572.1,4-hydroxy-tetrahydrodipicolinate reductase,reductase,low,GO:0005737;GO:0005829;GO:0008652;GO:0008839;GO:0009085;GO:0009089;GO:0016491;GO:0016726;GO:0019877;GO:0042802;GO:0050661;GO:0051287,GO:0008652;GO:0009085;GO:0009089;GO:0019877,GO:0008839;GO:0016491;GO:0016726;GO:0042802;GO:0050661;GO:0051287,GO:0005737;GO:0005829,GO:0003824;GO:0005829;GO:0006520;GO:0006629;GO:0016491
NP_414573.1,CDS,29651,30799,+,949025,b0032,carA,NP_414573.1,carbamoyl-phosphate synthetase small subunit,synthase,low,GO:0000166;GO:0004088;GO:0004359;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0005951;GO:0006207;GO:0006221;GO:0006526;GO:0006541;GO:0008652;GO:0016874;GO:0019856;GO:0044205;GO:0046982,GO:0006207;GO:0006221;GO:0006526;GO:0006541;GO:0008652;GO:0019856;GO:0044205,GO:0000166;GO:0004088;GO:0004359;GO:0005515;GO:0005524;GO:0016874;GO:0046982,GO:0005737;GO:0005829;GO:0005951,GO:0003824;GO:0005829;GO:0006520;GO:0016787;GO:0016874;GO:0055086;GO:1901135
NP_414574.1,CDS,30817,34038,+,944775,b0033,carB,NP_414574.1,carbamoyl-phosphate synthetase large subunit,synthase,low,GO:0000166;GO:0004087;GO:0004088;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0005951;GO:0006221;GO:0006526;GO:0006541;GO:0008652;GO:0009064;GO:0016597;GO:0016874;GO:0016879;GO:0019856;GO:0044205;GO:0046872,GO:0006221;GO:0006526;GO:0006541;GO:0008652;GO:0009064;GO:0019856;GO:0044205,GO:0000166;GO:0004087;GO:0004088;GO:0005515;GO:0005524;GO:0016597;GO:0016874;GO:0016879;GO:0046872,GO:0005737;GO:0005829;GO:0005951,GO:0003824;GO:0005829;GO:0006520;GO:0016874;GO:0055086;GO:1901135
NP_414576.4,CDS,34300,34695,+,944795,b0034,caiF,NP_414576.4,DNA-binding transcriptional activator CaiF,transcriptional_regulator,high,GO:0003700;GO:0006351;GO:0006355;GO:0009437,GO:0006351;GO:0006355;GO:0009437,GO:0003700,,GO:0006351;GO:0006355;GO:0006575;GO:0140110
NP_414577.2,CDS,34781,35371,-,948999,b0035,caiE,NP_414577.2,putative transferase CaiE,low_info,low,GO:0009437;GO:0016289;GO:0016740,GO:0009437,GO:0016289;GO:0016740,,GO:0003824;GO:0006575;GO:0016740;GO:0016787
NP_414578.2,CDS,35377,36162,-,948995,b0036,caiD,NP_414578.2,crotonobetainyl-CoA hydratase,other,low,GO:0003824;GO:0006635;GO:0008735;GO:0008809;GO:0009437;GO:0016829;GO:0016836;GO:0042413;GO:0120092,GO:0006635;GO:0009437;GO:0042413,GO:0003824;GO:0008735;GO:0008809;GO:0016829;GO:0016836;GO:0120092,,GO:0003824;GO:0006575;GO:0006629;GO:0016740;GO:0016829;GO:0016853
NP_414579.4,CDS,36271,37824,-,944886,b0037,caiC,NP_414579.4,carnitine--CoA ligase,ligase,low,GO:0005515;GO:0009437;GO:0016405;GO:0016874;GO:0016877;GO:0016878;GO:0051108;GO:0051109,GO:0009437,GO:0005515;GO:0016405;GO:0016874;GO:0016877;GO:0016878;GO:0051108;GO:0051109,,GO:0003824;GO:0006575;GO:0016874
NP_414580.1,CDS,37898,39115,-,948997,b0038,caiB,NP_414580.1,gamma-butyrobetainyl-CoA:carnitine CoA transferase,transferase,low,GO:0003824;GO:0005737;GO:0008410;GO:0008735;GO:0009437;GO:0016740;GO:0016782;GO:0042413,GO:0009437;GO:0042413,GO:0003824;GO:0008410;GO:0008735;GO:0016740;GO:0016782,GO:0005737,GO:0003824;GO:0006575;GO:0016740
NP_414581.1,CDS,39244,40386,-,949064,b0039,caiA,NP_414581.1,crotonobetainyl-CoA reductase,reductase,low,GO:0003995;GO:0005737;GO:0009437;GO:0016491;GO:0016627;GO:0033539;GO:0050660;GO:0052890,GO:0009437;GO:0033539,GO:0003995;GO:0016491;GO:0016627;GO:0050660;GO:0052890,GO:0005737,GO:0003824;GO:0006575;GO:0006629;GO:0016491
NP_414582.1,CDS,40417,41931,-,944765,b0040,caiT,NP_414582.1,L-carnitine:gamma-butyrobetaine antiporter,transporter,medium,GO:0005886;GO:0009437;GO:0015226;GO:0015297;GO:0015879;GO:0016020;GO:0022857;GO:0044667;GO:1900749;GO:1900751;GO:1902270;GO:1902603,GO:0009437;GO:0015879;GO:1900749;GO:1900751;GO:1902270;GO:1902603,GO:0015226;GO:0015297;GO:0022857;GO:0044667,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0006575;GO:0055085
NP_414583.2,CDS,42403,43173,+,947316,b0041,fixA,NP_414583.2,putative electron transfer flavoprotein FixA,low_info,low,GO:0005515;GO:0009055;GO:0009437;GO:0042413,GO:0009437;GO:0042413,GO:0005515;GO:0009055,,GO:0006575
NP_414584.1,CDS,43188,44129,+,948939,b0042,fixB,NP_414584.1,putative electron transfer flavoprotein FixB,low_info,low,GO:0005515;GO:0009055;GO:0009437;GO:0033539;GO:0042413;GO:0050660,GO:0009437;GO:0033539;GO:0042413,GO:0005515;GO:0009055;GO:0050660,,GO:0006575;GO:0006629
NP_414585.1,CDS,44180,45466,+,948958,b0043,fixC,NP_414585.1,putative oxidoreductase FixC,low_info,low,GO:0009437;GO:0016491;GO:0071949,GO:0009437,GO:0016491;GO:0071949,,GO:0003824;GO:0006575;GO:0016491
NP_414586.1,CDS,45463,45750,+,948590,b0044,fixX,NP_414586.1,putative ferredoxin FixX,low_info,low,GO:0005506;GO:0005515;GO:0046872;GO:0051536;GO:0051539,,GO:0005506;GO:0005515;GO:0046872;GO:0051536;GO:0051539,,
NP_414587.1,CDS,45807,47138,+,944766,b0045,yaaU,NP_414587.1,putative transporter YaaU,low_info,low,GO:0005886;GO:0006979;GO:0016020;GO:0022857;GO:0055085,GO:0006979;GO:0055085,GO:0022857,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_414588.1,CDS,47246,47776,+,944767,b0046,kefF,NP_414588.1,regulator of KefC-mediated potassium transport and quinone oxidoreductase,reductase,low,GO:0003955;GO:0005515;GO:0005886;GO:0006813;GO:0008753;GO:0009055;GO:0010181;GO:0016491;GO:0042803;GO:0050136;GO:0051453;GO:0051454;GO:1901381;GO:1903103,GO:0006813;GO:0051453;GO:0051454;GO:1901381,GO:0003955;GO:0005515;GO:0008753;GO:0009055;GO:0010181;GO:0016491;GO:0042803;GO:0050136,GO:0005886;GO:1903103,GO:0003824;GO:0005886;GO:0016491
NP_414589.1,CDS,47769,49631,+,944773,b0047,kefC,NP_414589.1,K(+) : H(+) antiporter KefC,transporter,medium,GO:0000166;GO:0005515;GO:0005886;GO:0006811;GO:0006812;GO:0006813;GO:0006885;GO:0008324;GO:0009636;GO:0015079;GO:0015297;GO:0015503;GO:0015643;GO:0016020;GO:0019899;GO:0042542;GO:0042803;GO:0051453;GO:0051454;GO:0051595;GO:0055085;GO:0071805;GO:1902600;GO:1903103,GO:0006811;GO:0006812;GO:0006813;GO:0006885;GO:0009636;GO:0042542;GO:0051453;GO:0051454;GO:0051595;GO:0055085;GO:0071805;GO:1902600,GO:0000166;GO:0005515;GO:0008324;GO:0015079;GO:0015297;GO:0015503;GO:0015643;GO:0019899;GO:0042803,GO:0005886;GO:0016020;GO:1903103,GO:0005215;GO:0005886;GO:0055085
NP_414590.1,CDS,49823,50302,+,944790,b0048,folA,NP_414590.1,dihydrofolate reductase,reductase,low,GO:0004146;GO:0005515;GO:0005542;GO:0005829;GO:0006730;GO:0009257;GO:0009410;GO:0016491;GO:0031427;GO:0044281;GO:0046452;GO:0046654;GO:0046655;GO:0046656;GO:0046677;GO:0050661;GO:0051870;GO:0051871;GO:0070401;GO:0070402,GO:0006730;GO:0009257;GO:0009410;GO:0031427;GO:0044281;GO:0046452;GO:0046654;GO:0046655;GO:0046656;GO:0046677,GO:0004146;GO:0005515;GO:0005542;GO:0016491;GO:0050661;GO:0051870;GO:0051871;GO:0070401;GO:0070402,GO:0005829,GO:0003824;GO:0005829;GO:0006575;GO:0006766;GO:0016491
NP_414591.1,CDS,50380,51222,-,944770,b0049,apaH,NP_414591.1,diadenosine tetraphosphatase,phosphatase,medium,GO:0005737;GO:0008796;GO:0008803;GO:0010165;GO:0015949;GO:0016787;GO:0016791;GO:0110154,GO:0010165;GO:0015949;GO:0110154,GO:0008796;GO:0008803;GO:0016787;GO:0016791,GO:0005737,GO:0003824;GO:0016787;GO:0055086
NP_414592.1,CDS,51229,51606,-,944772,b0050,apaG,NP_414592.1,DUF525 domain-containing protein ApaG,other,low,GO:0070987,GO:0070987,,,GO:0006260
NP_414593.1,CDS,51609,52430,-,944939,b0051,rsmA,NP_414593.1,"16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase",ribosomal_rna,high,GO:0000028;GO:0000154;GO:0000179;GO:0003690;GO:0003723;GO:0003729;GO:0005737;GO:0005829;GO:0006364;GO:0008168;GO:0016433;GO:0016740;GO:0030490;GO:0031167;GO:0032259;GO:0043024;GO:0046677;GO:0052908;GO:0070475,GO:0000028;GO:0000154;GO:0006364;GO:0030490;GO:0031167;GO:0032259;GO:0046677;GO:0070475,GO:0000179;GO:0003690;GO:0003723;GO:0003729;GO:0008168;GO:0016433;GO:0016740;GO:0043024;GO:0052908,GO:0005737;GO:0005829,GO:0003677;GO:0003723;GO:0003824;GO:0005829;GO:0016740;GO:0042254;GO:0065003;GO:0140098
NP_414594.1,CDS,52427,53416,-,944919,b0052,pdxA,NP_414594.1,4-hydroxythreonine-4-phosphate dehydrogenase,dehydrogenase,low,GO:0000287;GO:0005737;GO:0008270;GO:0008615;GO:0016491;GO:0042802;GO:0042803;GO:0042823;GO:0046872;GO:0050570;GO:0050897;GO:0051287,GO:0008615;GO:0042823,GO:0000287;GO:0008270;GO:0016491;GO:0042802;GO:0042803;GO:0046872;GO:0050570;GO:0050897;GO:0051287,GO:0005737,GO:0003824;GO:0006766;GO:0016491
NP_414595.1,CDS,53416,54702,-,944812,b0053,surA,NP_414595.1,chaperone SurA,chaperone,medium,GO:0003755;GO:0005515;GO:0006457;GO:0016853;GO:0030288;GO:0036506;GO:0042277;GO:0042597;GO:0043165;GO:0050821;GO:0051082,GO:0006457;GO:0036506;GO:0043165;GO:0050821,GO:0003755;GO:0005515;GO:0016853;GO:0042277;GO:0051082,GO:0030288;GO:0042597,GO:0003824;GO:0006457;GO:0016853;GO:0051604;GO:0061024;GO:0140096
NP_414596.1,CDS,54755,57109,-,945011,b0054,lptD,NP_414596.1,lipopolysaccharide assembly protein LptD,lps_capsule,medium,GO:0005515;GO:0009279;GO:0015920;GO:0019867;GO:0043165;GO:0061024;GO:1990351,GO:0015920;GO:0043165;GO:0061024,GO:0005515,GO:0009279;GO:0019867;GO:1990351,GO:0030312;GO:0061024
NP_414597.1,CDS,57364,58179,+,948992,b0055,djlA,NP_414597.1,co-chaperone protein DjlA,chaperone,medium,GO:0005886;GO:0016020;GO:0051087,,GO:0051087,GO:0005886;GO:0016020,GO:0005886
YP_009518734.1,CDS,58474,59124,+,945039,b0056,yabP,YP_009518734.1,putative uncharacterized protein YabP,low_info,low,,,,,
YP_009518735.1,CDS,59121,59279,+,38094933,b0057,yabQ,YP_009518735.1,protein YabQ,other,low,,,,,
NP_414600.1,CDS,59687,60346,-,946262,b0058,rluA,NP_414600.1,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,ribosomal_rna,high,GO:0000455;GO:0001522;GO:0003723;GO:0005829;GO:0006364;GO:0006396;GO:0008033;GO:0009451;GO:0009982;GO:0016853;GO:0031118;GO:0031119;GO:0106029;GO:0120159;GO:0140098;GO:0160142;GO:0160151,GO:0000455;GO:0001522;GO:0006364;GO:0006396;GO:0008033;GO:0009451;GO:0031118;GO:0031119,GO:0003723;GO:0009982;GO:0016853;GO:0106029;GO:0120159;GO:0140098;GO:0160142;GO:0160151,GO:0005829,GO:0003723;GO:0003824;GO:0005829;GO:0006399;GO:0016853;GO:0042254;GO:0140098
NP_414601.1,CDS,60358,63264,-,948523,b0059,rapA,NP_414601.1,RNA polymerase-binding ATPase and RNAP recyclingfactor,atpase,medium,GO:0000166;GO:0001000;GO:0003676;GO:0003677;GO:0003682;GO:0004386;GO:0005515;GO:0005524;GO:0005737;GO:0006355;GO:0016787;GO:0016817;GO:0016887;GO:0031507;GO:0045893;GO:0045944;GO:0140750,GO:0006355;GO:0031507;GO:0045893;GO:0045944,GO:0000166;GO:0001000;GO:0003676;GO:0003677;GO:0003682;GO:0004386;GO:0005515;GO:0005524;GO:0016787;GO:0016817;GO:0016887;GO:0140750,GO:0005737,GO:0003677;GO:0003824;GO:0006325;GO:0006355;GO:0016787;GO:0016853;GO:0140097;GO:0140657
NP_414602.1,CDS,63429,65780,-,944779,b0060,polB,NP_414602.1,DNA polymerase II,polymerase,medium,GO:0000166;GO:0003676;GO:0003677;GO:0003887;GO:0006261;GO:0006281;GO:0006974;GO:0008296;GO:0009432;GO:0016740;GO:0016779;GO:0034061;GO:0045004;GO:0071897,GO:0006261;GO:0006281;GO:0006974;GO:0009432;GO:0045004;GO:0071897,GO:0000166;GO:0003676;GO:0003677;GO:0003887;GO:0008296;GO:0016740;GO:0016779;GO:0034061,,GO:0003677;GO:0003824;GO:0006260;GO:0006281;GO:0016740;GO:0016787;GO:0140097
NP_414603.1,CDS,65855,66550,-,945294,b0061,araD,NP_414603.1,L-ribulose-5-phosphate 4-epimerase AraD,other,low,GO:0005829;GO:0005996;GO:0008270;GO:0008742;GO:0016832;GO:0016853;GO:0019323;GO:0019324;GO:0019568;GO:0019569;GO:0019572;GO:0032991;GO:0042802;GO:0046872,GO:0005996;GO:0019323;GO:0019324;GO:0019568;GO:0019569;GO:0019572,GO:0008270;GO:0008742;GO:0016832;GO:0016853;GO:0042802;GO:0046872,GO:0005829;GO:0032991,GO:0003824;GO:0005829;GO:0005975;GO:0016829;GO:0016853;GO:1901135
NP_414604.1,CDS,66835,68337,-,947511,b0062,araA,NP_414604.1,L-arabinose isomerase,isomerase,low,GO:0005737;GO:0005829;GO:0005996;GO:0008733;GO:0016853;GO:0016861;GO:0019568;GO:0019569;GO:0030145;GO:0046872,GO:0005996;GO:0019568;GO:0019569,GO:0008733;GO:0016853;GO:0016861;GO:0030145;GO:0046872,GO:0005737;GO:0005829,GO:0003824;GO:0005829;GO:0005975;GO:0016853;GO:1901135
NP_414605.1,CDS,68348,70048,-,946017,b0063,araB,NP_414605.1,ribulokinase,kinase,medium,GO:0000166;GO:0005524;GO:0005737;GO:0005975;GO:0008741;GO:0016052;GO:0016301;GO:0016740;GO:0016773;GO:0019150;GO:0019321;GO:0019568;GO:0019569;GO:0019572;GO:0046835,GO:0005975;GO:0016052;GO:0019321;GO:0019568;GO:0019569;GO:0019572;GO:0046835,GO:0000166;GO:0005524;GO:0008741;GO:0016301;GO:0016740;GO:0016773;GO:0019150,GO:0005737,GO:0003824;GO:0005975;GO:0016740;GO:1901135
